Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,M7c1c3,50,31,48,48,64.583
Contig.1,M7c1c2,50,32,48,48,66.667
Contig.1,M7c1c1,50,31,52,52,59.615
Contig.1,L3e1f1,50,31,45,45,68.889
Contig.1,L3e1f2,50,31,48,48,64.583
Contig.1,Y1a,50,34,43,43,79.070
Contig.1,D1j1a2,50,31,52,52,59.615
Contig.1,D1j1a1,50,30,49,49,61.224
Contig.1,Y1b,50,35,45,45,77.778
Contig.1,H1aj1,50,43,47,47,91.489
Contig.1,M49a2,50,32,45,45,71.111
Contig.1,M49a1,50,32,46,46,69.565
Contig.1,Z4a1,50,30,50,50,60.000
Contig.1,N9a2a2,50,36,48,48,75.000
Contig.1,N9a2a1,50,36,50,50,72.000
Contig.1,Y1b1a,50,35,47,47,74.468
Contig.1,A_152__16362,50,35,44,44,79.545
Contig.1,G4,50,31,52,52,59.615
Contig.1,G3,50,32,43,43,74.419
Contig.1,G2,50,32,44,44,72.727
Contig.1,G1,50,32,45,45,71.111
Contig.1,HV4a1a,50,41,46,46,89.130
Contig.1,B2w,50,35,50,50,70.000
Contig.1,B2v,50,37,52,52,71.154
Contig.1,N1a1a_152,50,34,50,50,68.000
Contig.1,B2t,50,37,55,55,67.273
Contig.1,B2s,50,37,55,55,67.273
Contig.1,B2r,50,37,50,50,74.000
Contig.1,B2q,50,37,50,50,74.000
Contig.1,B2p,50,37,52,52,71.154
Contig.1,B2o,50,37,50,50,74.000
Contig.1,J1b8,50,36,53,53,67.925
Contig.1,B2m,50,37,52,52,71.154
Contig.1,A2af1a2,50,35,58,58,60.345
Contig.1,B2k,50,36,49,49,73.469
Contig.1,B2j,50,37,55,55,67.273
Contig.1,B2i,50,37,50,50,74.000
Contig.1,B2h,50,37,51,51,72.549
Contig.1,J1b1,50,37,54,54,68.519
Contig.1,B2f,50,37,53,53,69.811
Contig.1,J1b3,50,37,54,54,68.519
Contig.1,J1b2,50,37,53,53,69.811
Contig.1,J1b5,50,37,53,53,69.811
Contig.1,L1c2a1b,50,7,56,56,12.500
Contig.1,L1c2a1a,50,7,61,61,11.475
Contig.1,J1b6,50,37,53,53,69.811
Contig.1,L0a2a2a1,50,6,52,52,11.538
Contig.1,H3k1,50,42,45,45,93.333
Contig.1,K2a1,50,35,53,53,66.038
Contig.1,B4a1a6a,50,36,47,47,76.596
Contig.1,D4m,50,32,45,45,71.111
Contig.1,B4a1a1a10,50,36,49,49,73.469
Contig.1,K1a4a1a2,50,36,58,58,62.069
Contig.1,B4c1c1,50,34,44,44,77.273
Contig.1,K1a4a1a1,50,35,57,57,61.404
Contig.1,K1b1a1b,50,34,59,59,57.627
Contig.1,A2_64__153,50,34,47,47,72.340
Contig.1,L3e1f,50,32,46,46,69.565
Contig.1,L3e1g,50,32,55,55,58.182
Contig.1,L3e1d,50,31,45,45,68.889
Contig.1,L3e1e,50,32,46,46,69.565
Contig.1,L3e1b,50,32,47,47,68.085
Contig.1,L3e1c,50,33,50,50,66.000
Contig.1,L3e1a,50,32,46,46,69.565
Contig.1,M3d1a,50,32,44,44,72.727
Contig.1,R0a1a,50,39,50,50,78.000
Contig.1,R0a1b,50,38,48,48,79.167
Contig.1,D4h3a_152,50,31,54,54,57.407
Contig.1,R9b1a2a,50,38,51,51,74.510
Contig.1,I2a1,50,33,53,53,62.264
Contig.1,D5a1a2,50,31,54,54,57.407
Contig.1,L0d1b2b2,50,5,40,40,12.500
Contig.1,L0d1b2b1,50,4,38,38,10.526
Contig.1,D5a1a1,50,31,54,54,57.407
Contig.1,J1c3a2,50,37,54,54,68.519
Contig.1,R30a1b,50,37,50,50,74.000
Contig.1,C4c1b,50,30,53,53,56.604
Contig.1,J1b1a2a,50,36,63,63,57.143
Contig.1,J1b1a2b,50,36,62,62,58.065
Contig.1,C4c1a,50,31,56,56,55.357
Contig.1,L1c4a,50,7,58,58,12.069
Contig.1,H3b5,50,42,45,45,93.333
Contig.1,L1c4b,50,7,46,46,15.217
Contig.1,H1p,50,43,45,45,95.556
Contig.1,H1q,50,43,45,45,95.556
Contig.1,H1r,50,43,45,45,95.556
Contig.1,H1s,50,43,45,45,95.556
Contig.1,H1t,50,43,45,45,95.556
Contig.1,H1u,50,43,45,45,95.556
Contig.1,G2a2a,50,30,51,51,58.824
Contig.1,H1w,50,43,45,45,95.556
Contig.1,H1h,50,43,45,45,95.556
Contig.1,H1i,50,42,44,44,95.455
Contig.1,H1j,50,43,45,45,95.556
Contig.1,H1k,50,42,44,44,95.455
Contig.1,H1m,50,43,45,45,95.556
Contig.1,V_72,50,41,44,44,93.182
Contig.1,H1o,50,43,47,47,91.489
Contig.1,L2a1_16189_16192,50,19,38,38,50.000
Contig.1,H1a,50,42,44,44,95.455
Contig.1,H1b,50,42,44,44,95.455
Contig.1,H1c,50,43,45,45,95.556
Contig.1,H1e,50,43,45,45,95.556
Contig.1,H1f,50,42,45,45,93.333
Contig.1,H1g,50,42,44,44,95.455
Contig.1,D4h3a5,50,31,53,53,58.491
Contig.1,M1b2b,50,28,45,45,62.222
Contig.1,L2a1c_16086,50,20,42,42,47.619
Contig.1,M34a1a,50,31,51,51,60.784
Contig.1,L2a1c1a1,50,20,48,48,41.667
Contig.1,T2b21,50,37,58,58,63.793
Contig.1,H1at1a,50,43,47,47,91.489
Contig.1,U4c2,50,37,52,52,71.154
Contig.1,H1ae3a,50,43,48,48,89.583
Contig.1,U4c1,50,37,55,55,67.273
Contig.1,N9a8,50,36,45,45,80.000
Contig.1,N9a9,50,36,44,44,81.818
Contig.1,H5a1c1,50,43,50,50,86.000
Contig.1,Z4,50,31,50,50,62.000
Contig.1,Z5,50,32,56,56,57.143
Contig.1,N9a6,50,36,45,45,80.000
Contig.1,Z7,50,31,55,55,56.364
Contig.1,Z1,50,31,48,48,64.583
Contig.1,Z2,50,31,51,51,60.784
Contig.1,Z3,50,31,48,48,64.583
Contig.1,A5a,50,35,48,48,72.917
Contig.1,B4g1b,50,37,47,47,78.723
Contig.1,A5c,50,34,45,45,75.556
Contig.1,A5b,50,36,48,48,75.000
Contig.1,J1c15,50,37,52,52,71.154
Contig.1,H1ae2,50,43,46,46,93.478
Contig.1,B4a2a,50,37,46,46,80.435
Contig.1,H10,50,43,44,44,97.727
Contig.1,H11,50,41,43,43,95.349
Contig.1,H12,50,42,44,44,95.455
Contig.1,N3a1,50,33,51,51,64.706
Contig.1,H14,50,43,45,45,95.556
Contig.1,H15,50,43,46,46,93.478
Contig.1,H16,50,43,44,44,97.727
Contig.1,H17,50,42,43,43,97.674
Contig.1,T2g2,50,38,60,60,63.333
Contig.1,T2g1,50,38,58,58,65.517
Contig.1,D4h1a1,50,31,50,50,62.000
Contig.1,M33b1,50,32,48,48,66.667
Contig.1,M33b2,50,32,45,45,71.111
Contig.1,C5b,50,31,50,50,62.000
Contig.1,M31b'c,50,32,43,43,74.419
Contig.1,H1g1,50,42,45,45,93.333
Contig.1,H1g2,50,42,45,45,93.333
Contig.1,C1b5a,50,31,53,53,58.491
Contig.1,C1b5b,50,31,54,54,57.407
Contig.1,M11a,50,32,50,50,64.000
Contig.1,B2x,50,37,54,54,68.519
