Coverage of Assembled mtDNA. Coverage 99.9940 - Per base depth 228.878.
Name	Type	Start	End	Length	Coverage	MeanDepth
Contig.1	Contig	1	16569	16569	99.994	228.878
D-Loop1	Annotation	1	578	578	100.000	89.896
ND5	Annotation	12337	14149	1813	100.000	238.338
ATP6	Annotation	8527	9208	682	100.000	187.717
ND3	Annotation	10059	10405	347	100.000	202.412
ND4L	Annotation	10470	10767	298	100.000	303.614
ND1	Annotation	3308	4263	956	100.000	263.024
ND6	Annotation	14149	14674	526	100.000	167.053
ND4	Annotation	10760	12138	1379	100.000	269.607
CYTB	Annotation	14747	15888	1142	100.000	294.661
COX1	Annotation	5904	7446	1543	100.000	228.076
D-Loop2	Annotation	16025	16571	547	99.634	211.382
RNR2	Annotation	1673	3230	1558	99.936	268.457
ND2	Annotation	4470	5512	1043	100.000	189.753
COX2	Annotation	7586	8270	685	100.000	236.390
RNR1	Annotation	650	1603	954	100.000	249.719
COX3	Annotation	9207	9991	785	100.000	232.786
ATP8	Annotation	8366	8573	208	100.000	153.611
