Coverage of Assembled mtDNA. Coverage 100.0000 - Per base depth 3352.476.
Name	Type	Start	End	Length	Coverage	MeanDepth
Contig.1	Contig	1	16569	16569	100.000	3352.476
D-Loop1	Annotation	1	578	578	100.000	1492.220
ND5	Annotation	12337	14149	1813	100.000	3406.031
ATP6	Annotation	8527	9208	682	100.000	2838.463
ND3	Annotation	10059	10405	347	100.000	3415.882
ND4L	Annotation	10470	10767	298	100.000	5525.977
ND1	Annotation	3308	4263	956	100.000	3431.269
ND6	Annotation	14149	14674	526	100.000	2796.274
ND4	Annotation	10760	12138	1379	100.000	4215.980
CYTB	Annotation	14747	15888	1142	100.000	4231.868
COX1	Annotation	5904	7446	1543	100.000	3461.855
D-Loop2	Annotation	16025	16571	547	99.634	3193.035
RNR2	Annotation	1673	3230	1558	100.000	3654.412
ND2	Annotation	4470	5512	1043	100.000	2918.007
COX2	Annotation	7586	8270	685	100.000	3082.169
RNR1	Annotation	650	1603	954	100.000	3291.836
COX3	Annotation	9207	9991	785	100.000	3427.404
ATP8	Annotation	8366	8573	208	100.000	2464.659
